,Geneid,bwa,kallisto,star
18428,CDK7_8270,2,2,1
18429,CDKN1B_8272,46,46,45
18430,CDKN3_8274,2,2,2
18431,CDO1_8275,137,136,123
18432,CDT1_8276,0,0,0
18433,CEACAM1_8277,129,126,122
18434,CEBPA_8279,34,34,34
18435,CEBPB_8280,72,72,66
18436,CEBPB_8281,0,0,0
18437,CEBPB_8282,704,691,646
18438,CEBPD_8283,254,247,225
18439,CEBPZ_8284,53,52,50
18440,CENPE_8286,0,0,0
18441,CENPF_8287,5,5,0
18442,CENPK_8288,3,3,2
18443,CENPN_8289,1,1,1
18444,CEP57_8291,4,1,0
18445,CERK_8293,8,7,7
18446,CFHR1_8295,290,284,267
18447,CGA_8298,0,0,0
18448,CGRRF1_8300,272,263,245
18449,CHAC1_8301,13,13,12
18450,CHCHD4_8302,151,146,132
18451,CHDH_8303,31,31,29
18452,CHEK1_8304,1,1,1
18453,CHEK2_8305,1,1,1
18454,CHERP_8306,4,4,4
18455,CHIC2_8307,1,1,1
18456,CHKB_8309,147,141,130
18457,CHMP6_8311,39,38,34
18458,CHN3_8312,4,4,4
18459,CHRNA6_8315,1,0,0
18460,CHSY1_8317,14,14,14
18461,CHUK_8318,12,12,11
18462,CIAPIN1_8319,14,14,13
18463,CISD1_8322,1220,1204,1139
18464,CKS2_8325,213,212,203
18465,CLDN4_8328,0,0,0
18466,CLDN7_8329,0,0,0
18467,CLEC4A3_8330,0,0,0
18468,CLIC1_8331,112,109,105
18469,CLIC4_8332,981,972,914
18470,CLSTN1_8335,34,33,30
18471,CLTC_8337,73,72,68
18472,CMA1_8338,0,0,0
18473,CNDP2_8341,75,73,70
18474,CNOT4_8342,53,53,51
18475,CNPY3_8345,81,81,73
18476,COASY_8346,30,28,24
18477,COG2_8347,2,2,2
18478,COG4_8348,23,23,23
18479,COG7_8349,5,5,5
18480,COL14A1_8350,0,0,0
18481,COL18A1_8351,17,17,16
18482,COL1A1_8352,0,0,0
18483,COL1A2_8353,10,10,10
18484,COL3A1_8354,7,7,7
18485,COL4A1_8355,0,0,0
18486,COL4A2_8356,31,30,27
18487,COLQ_8358,0,0,0
18488,COPA_8359,330,321,305
18489,COPB2_8360,257,256,247
18490,COPS7A_8361,61,61,60
18491,CORO1A_8364,0,0,0
18492,CP_8366,1209,1184,1119
18493,CPA3_8367,0,0,0
18494,CPAMD8_8368,500,495,465
18495,CPSF4_8372,201,199,184
18496,CPT1B_8373,37,35,32
18497,CPT2_8374,171,167,149
18498,CRAT_8375,143,142,126
18499,CREB1_8377,66,64,61
18500,CREBBP_8379,0,0,0
18501,CREG1_8380,3241,3182,2983
18502,CRELD2_8381,335,331,304
18503,CRK_8382,81,80,78
18504,CRKL_8383,8,8,8
18505,CRP_8385,180,178,172
18506,CRY1_8386,13,13,13
18507,CRYL1_8388,121,115,109
18508,CRYZ_8389,0,0,0
18509,CSNK1A1_8393,247,246,228
18510,CSNK1E_8394,23,22,19
18511,CSNK2A2_8395,56,53,49
18512,CTNNB1_8400,71,71,69
18513,CTNND1_8401,1154,1137,1065
18514,CTSD_8403,305,301,273
18515,CTSS_8404,6,6,6
18516,CTSZ_8405,93,90,84
18517,CTTN_8406,354,349,325
18518,CXCL1_8407,2,2,2
18519,CXCL10_8408,9,8,7
18520,CXCL12_8410,1,1,1
18521,CYB561_8412,27,27,25
18522,CYP1A1_8415,606,597,573
18523,CYP1A2_8416,204,196,189
18524,CYP26B1_8418,0,0,0
18525,CYP2C13_8419,23,23,23
18526,CYP2D3_8420,1,0,1
18527,CYP2E1_8421,17,17,12
18528,CYP2F4_8422,265,256,243
18529,CYP4A2_8425,0,0,0
18530,CYP4A2_8426,0,2,0
18531,CYP51_8429,519,514,493
18532,CYP7A1_8430,0,0,0
18533,CYTH1_8433,0,0,0
18534,DAG1_8435,18,18,18
18535,DAK_8436,2,2,2
18536,DAXX_8438,450,347,270
18537,DBP_8439,23,23,21
18538,DCK_8440,39,38,29
18539,DCN_8441,0,0,0
18540,DCTD_8442,0,0,0
18541,DCUN1D4_8444,56,56,56
18542,DCXR_8445,18,18,16
18543,DDB2_8446,4,3,2
18544,DDC_8447,0,0,0
18545,DDIT3_8449,639,628,585
18546,DDIT4_8450,7,7,6
18547,DDR1_8451,21,20,16
18548,DDX10_8452,175,172,167
18549,DDX18_8453,47,42,41
18550,DDX58_8456,0,0,0
18551,DDX60_8457,0,0,0
18552,DECR1_8458,274,271,252
18553,DENND2D_8461,7,7,7
